"Country","Fuerza laboral femenina"
"AFG",19.8
"ALB",41.4
"DZA",18
"AGO",50.1
"ARG",42
"ARM",46.1
"AUS",46.2
"AUT",46.7
"AZE",48.8
"BHS",47.5
"BHR",21.4
"BGD",28.8
"BRB",49.4
"BLR",49.7
"BEL",45.9
"BLZ",38.8
"BEN",49.1
"BTN",41.1
"BOL",42.2
"BIH",39.1
"BWA",48.8
"BRA",42.9
"BRN",42.4
"BGR",46.3
"BFA",44.7
"BDI",52
"CPV",43.2
"KHM",48.5
"CMR",47
"CAN",47.2
"CAF",45.5
"TCD",45.4
"CHI",44.2
"CHL",41.6
"CHN",43.9
"COL",43.2
"COM",41.7
"COD",48.3
"COG",48.9
"CRI",38
"CIV",41.1
"HRV",46.3
"CUB",38.8
"CYP",46.2
"CZE",44.4
"DNK",47.4
"DJI",39.5
"DOM",39.6
"ECU",41
"EGY",23.8
"SLV",42.2
"GNQ",36.9
"EST",48.4
"SWZ",48.5
"ETH",46.3
"FJI",32.8
"FIN",48
"FRA",47.8
"PYF",43.5
"GAB",40.3
"GMB",43.8
"GEO",44.8
"DEU",46.4
"GHA",46.4
"GRC",44.2
"GUM",40.6
"GTM",34
"GIN",54.4
"GNB",47.8
"GUY",38.5
"HTI",47.3
"HND",36.8
"HKG",48.8
"HUN",45.7
"ISL",47.1
"IND",20.5
"IDN",38.3
"IRN",18.8
"IRQ",16.6
"IRL",45.5
"ISR",47.2
"ITA",42.3
"JAM",45.8
"JPN",43.1
"JOR",17.7
"KAZ",48.3
"KEN",48.6
"PRK",47.3
"KOR",41.7
"KWT",26.6
"KGZ",40.3
"LAO",49
"LVA",50.1
"LBN",24.3
"LSO",45.3
"LBR",47.3
"LBY",34.1
"LTU",50.5
"LUX",45
"MAC",49.1
"MDG",48.8
"MWI",48.6
"MYS",38.2
"MDV",23.4
"MLI",43.8
"MLT",39.5
"MRT",31.4
"MUS",38.8
"MEX",37.6
"MDA",49.2
"MNG",45.4
"MNE",44.5
"MAR",24.5
"MOZ",52.2
"MMR",41.1
"NAM",48.2
"NPL",55.9
"NLD",46.1
"NCL",45.8
"NZL",47.4
"NIC",38.7
"NER",42.5
"NGA",44.9
"MKD",38.7
"NOR",47.1
"OMN",13.2
"PAK",21.3
"PAN",39.4
"PNG",48.5
"PRY",39.4
"PER",45.8
"PHL",39.2
"POL",44.6
"PRT",48.8
"PRI",42.5
"QAT",13.5
"ROU",42.9
"RUS",48.5
"RWA",51.6
"WSM",34.5
"STP",35.8
"SAU",16.8
"SEN",40.2
"SRB",44.2
"SLE",49.5
"SGP",41.8
"SVK",45.4
"SVN",46.4
"SLB",48.7
"SOM",22.9
"ZAF",44.8
"SSD",49.1
"ESP",46.3
"LKA",34.3
"LCA",45
"VCT",40
"SDN",29.9
"SUR",37.8
"SWE",47.7
"CHE",46.6
"SYR",16.2
"TJK",37.9
"TZA",48.2
"THA",45.6
"TLS",45.6
"TGO",49.6
"TON",39.1
"TTO",42.5
"TUN",26.7
"TUR",32.3
"TKM",41.1
"UGA",49.1
"UKR",47.2
"ARE",16.8
"GBR",46.5
"USA",45.9
"URY",45.4
"UZB",41
"VUT",43.6
"VEN",39.5
"VNM",47.8
"VIR",51.2
"PSE",19.5
"YEM",8
"ZMB",48
"ZWE",50.9
"ARB",21.1
"CSS",43.8
"CEB",45
"EAR",29.7
"EAS",43.4
"EAP",43.4
"TEA",43.3
"EMU",46
"ECS",45.3
"ECA",44.3
"TEC",44.3
"EUU",45.8
"FCS",40.7
"HPC",45.1
"HIC",44
"IBD",37.1
"IBT",37.8
"IDB",36.6
"IDX",41.9
"IDA",40.2
"LTE",43.7
"LCN",41.3
"LAC",41.3
"TLA",41.4
"LDC",42.5
"LMY",37.7
"LIC",43.6
"LMC",30.3
"MEA",20.6
"MNA",20.5
"TMN",20.5
"MIC",37.2
"NAC",46
"OED",44.1
"OSS",38.1
"PSS",40.3
"PST",45.5
"PRE",44.5
"SST",39.3
"SAS",22.4
"TSA",22.4
"SSF",46.3
"SSA",46.4
"TSS",46.3
"UMC",42.3
"WLD",38.9
